Passenger ID,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,Female,Loyal Customer,52,Business travel,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,satisfied
2,Female,Loyal Customer,36,Business travel,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,satisfied
3,Male,disloyal Customer,20,Business travel,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,neutral or dissatisfied
4,Male,Loyal Customer,44,Business travel,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,satisfied
5,Female,Loyal Customer,49,Business travel,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,satisfied
6,Male,Loyal Customer,16,Business travel,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,satisfied
7,Female,Loyal Customer,77,Business travel,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,satisfied
8,Female,Loyal Customer,43,Business travel,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,satisfied
9,Male,Loyal Customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,satisfied
10,Female,Loyal Customer,46,Business travel,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,satisfied
11,Female,Loyal Customer,47,Business travel,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,satisfied
12,Female,Loyal Customer,33,Business travel,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,neutral or dissatisfied
13,Female,Loyal Customer,46,Business travel,Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,satisfied
14,Female,Loyal Customer,60,Business travel,Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,satisfied
15,Female,Loyal Customer,52,Business travel,Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,satisfied
16,Male,Loyal Customer,50,Personal Travel,Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,neutral or dissatisfied
17,Female,Loyal Customer,31,Business travel,Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,neutral or dissatisfied
18,Male,Loyal Customer,52,Personal Travel,Eco Plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,satisfied
19,Female,Loyal Customer,43,Personal Travel,Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,neutral or dissatisfied
20,Female,Loyal Customer,50,Business travel,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,satisfied
21,Male,Loyal Customer,60,Business travel,Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,satisfied
22,Male,Loyal Customer,43,Personal Travel,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,neutral or dissatisfied
23,Male,Loyal Customer,55,Personal Travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,neutral or dissatisfied
24,Male,Loyal Customer,25,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,satisfied
25,Female,disloyal Customer,30,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,neutral or dissatisfied
26,Male,Loyal Customer,62,Personal Travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,neutral or dissatisfied
27,Male,Loyal Customer,24,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,satisfied
28,Female,Loyal Customer,22,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,satisfied
29,Male,Loyal Customer,44,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,satisfied
30,Male,Loyal Customer,51,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,neutral or dissatisfied
31,Male,Loyal Customer,43,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,neutral or dissatisfied
32,Female,Loyal Customer,56,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,satisfied
33,Male,disloyal Customer,41,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,neutral or dissatisfied
34,Male,Loyal Customer,22,Personal Travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,neutral or dissatisfied
35,Female,Loyal Customer,53,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,satisfied
36,Male,Loyal Customer,12,Personal Travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,neutral or dissatisfied
37,Female,Loyal Customer,39,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,satisfied
38,Female,Loyal Customer,55,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,satisfied
39,Female,disloyal Customer,32,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,neutral or dissatisfied
40,Female,Loyal Customer,40,Personal Travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,neutral or dissatisfied
41,Female,disloyal Customer,42,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,neutral or dissatisfied
42,Male,disloyal Customer,24,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,satisfied
43,Male,Loyal Customer,22,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,neutral or dissatisfied
44,Female,Loyal Customer,28,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,satisfied
45,Female,Loyal Customer,36,Business travel,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,neutral or dissatisfied
46,Female,Loyal Customer,62,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,satisfied
47,Female,Loyal Customer,60,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
48,Female,Loyal Customer,59,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,neutral or dissatisfied
49,Female,Loyal Customer,49,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,satisfied
50,Female,Loyal Customer,44,Personal Travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,neutral or dissatisfied
51,Female,Loyal Customer,58,Personal Travel,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,neutral or dissatisfied
52,Male,disloyal Customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied
53,Female,Loyal Customer,53,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,satisfied
54,Male,Loyal Customer,56,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,neutral or dissatisfied
55,Female,Loyal Customer,30,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,satisfied
56,Male,disloyal Customer,27,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,neutral or dissatisfied
57,Male,Loyal Customer,27,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,satisfied
58,Female,Loyal Customer,67,Personal Travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,neutral or dissatisfied
59,Female,Loyal Customer,32,Personal Travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,neutral or dissatisfied
60,Male,disloyal Customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied
61,Male,Loyal Customer,44,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,satisfied
62,Female,Loyal Customer,70,Personal Travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,neutral or dissatisfied
63,Female,Loyal Customer,55,Personal Travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,neutral or dissatisfied
64,Male,Loyal Customer,66,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,satisfied
65,Female,Loyal Customer,19,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,satisfied
66,Female,Loyal Customer,53,Personal Travel,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,neutral or dissatisfied
67,Male,Loyal Customer,22,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,neutral or dissatisfied
68,Female,Loyal Customer,69,Personal Travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,neutral or dissatisfied
69,Female,Loyal Customer,42,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,satisfied
70,Female,Loyal Customer,41,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,satisfied
71,Female,Loyal Customer,53,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,neutral or dissatisfied
72,Male,Loyal Customer,35,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
73,Female,Loyal Customer,54,Personal Travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,neutral or dissatisfied
74,Male,Loyal Customer,44,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,satisfied
75,Female,disloyal Customer,26,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,neutral or dissatisfied
76,Female,Loyal Customer,44,Personal Travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,neutral or dissatisfied
77,Female,disloyal Customer,24,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,neutral or dissatisfied
